Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Якимчук,Ігор,Трохимович,Чоловіча,1999-06-22,Паблік рилейшнз,місто Сімферополь,"узвіз Кругова, буд. 985 кв. 56, Нововолинськ, 51443",+380 31 873 31 96,bohuslava40@example.com
Ґжицький,Тимофій,Максимович,Чоловіча,1989-10-27,Інженер,село Хотин,"набережна Родоканакі, буд. 6 кв. 65, Волочиськ, 66736",072 924-96-98,semenchenkobohodar@example.org
Іщенко,Василь,Арсенович,Чоловіча,1949-09-16,Паблік рилейшнз,село Хрустальний,"площа Пересипська 1-ша, буд. 055 кв. 1, Заставна, 58057",387-94-66,olehsirobaba@example.com
Дашкевич,Геннадій,Микитович,Чоловіча,1984-07-22,Хореограф,село Золочів,"вулиця Хлібна гавань, буд. 712, Попасна, 73646",824-60-48,yiurchuk@example.net
Акуленко,Мирон,Назарович,Чоловіча,1972-05-01,Диригент,місто Вознесенівка,"сквер Західний 2-й, буд. 15, Ланівці, 86891",+380 97 937 37 08,havrylyshynihor@example.org
Вишняк,Михайло,Русланович,Чоловіча,1946-06-03,Круп'є,хутір Вільногірськ,"вулиця Балтський 4-й, буд. 1 кв. 32, Хоростків, 03157",+380 84 170 58 27,oshovkoplias@example.org
Асаула,Ярослав,Ігнатович,Чоловіча,1973-07-12,Електромонтер,місто Святогірськ,"проспект Біляївська, буд. 3 кв. 226, Прип'ять, 20032",070 359 08 83,chernenkoiukhym@example.org
Тригуб,Левко,Пантелеймонович,Чоловіча,1988-04-02,Адвокат,місто Умань,"площа Василя Берладяну, буд. 510 кв. 77, Хотин, 47744",065 238 55 87,ntsiupa@example.org
Христич,Альберт,Олегович,Чоловіча,1980-03-13,Бібліограф,місто Шостка,"сквер Сливова, буд. 2 кв. 45, Березань, 34653",+380 (93) 295-70-58,andriiovycheduard@example.org
Приходько,Геннадій,Васильович,Чоловіча,1971-06-12,Професор,хутір Кременець,"шосе Лінія 46-та, буд. 722 кв. 6, Гадяч, 75374",+380 (07) 430-47-69,cizhak@example.com
Гавриленко,Сергій,Аркадійович,Чоловіча,1971-03-23,Модель,село Моршин,"шосе Нафтовиків 2-й, буд. 0 кв. 972, П'ятихатки, 05323",+380 54 112-47-65,hpalii@example.org
Василенко,Прохір,Богданович,Чоловіча,1965-12-14,Слідчий,село Білицьке,"набережна Асташкіна, буд. 28, Хирів, 30670",+380 22 589 14 27,tiahnybokiakiv@example.net
Сагаль,Тарас,Володимирович,Чоловіча,1975-11-17,Намотувальник,село Монастириська,"сквер Старокінний, буд. 394 кв. 7, Коростишів, 27348",+380 (30) 791-97-72,popanasenko@example.com
Артеменко,Орест,Дмитрович,Чоловіча,1998-07-13,Археолог,місто Чуднів,"вулиця Трояндова, буд. 114, Старий Самбір, 46457",052 481 19 14,liza90@example.org
Гунько,Демʼян,Орхипович,Чоловіча,1956-12-03,Доцент,селище Новоград-Волинський,"вулиця Братів Малакових, буд. 9 кв. 5, Бориспіль, 70258",032 086-72-44,darynashablii@example.org
Доценко,Дмитро,Борисович,Чоловіча,1973-05-09,Журналіст,село Камінь-Каширський,"сквер Зоряна, буд. 6, Ніжин, 12998",006 131-30-51,rostyslavchupryna@example.net
Батіг,Зорян,Бориславович,Чоловіча,1994-02-07,Публіцист,село Докучаєвськ,"проспект Василя Капніста, буд. 1 кв. 88, Радехів, 39217",020 440 52 89,kyrylo94@example.org
Носаченко,Амвросій,Стефанович,Чоловіча,1953-08-27,Клавішник,хутір Іллінці,"сквер Шоста, буд. 710 кв. 4, Шахтарське, 25626",+380 96 958-57-98,mzaporozhets@example.org
Забіла,Макар,Климентович,Чоловіча,1975-12-10,Бібліотекар,місто Новоселиця,"шосе Рішельєвська, буд. 958 кв. 432, Збараж, 10794",693-29-37,demianzasukha@example.org
Франко,Болеслав,Борисович,Чоловіча,1956-05-13,Епідеміолог,місто Ялта,"проспект Сортувальна 1-ша, буд. 35, Щолкіне, 67954",+380 45 289-69-85,nehodaleopold@example.org
Саченко,Михайло,Миколайович,Чоловіча,1950-07-03,Візажист,місто Тернівка,"провулок Маловського, буд. 4, Бровари, 75151",013 592-99-88,iarynamakohon@example.com
Дрозд,Марко,Михайлович,Чоловіча,1988-10-06,Випробувач,місто Баранівка,"площа Квітнева, буд. 1 кв. 94, Христинівка, 83253",427-64-83,petliurasofiia@example.com
Бевзенко,Данило,Прохорович,Чоловіча,1986-09-30,Редактор,місто Новоазовськ,"набережна Шилова, буд. 60, Пологи, 03889",052 975-85-09,ustymcherinko@example.net
Аронець,Олег,Демʼянович,Чоловіча,1953-02-11,Біолог,селище Таврійськ,"вулиця Архітектурна, буд. 81 кв. 4, Заставна, 44090",086 534 68 98,makartereshchenko@example.org
Асаула,Георгій,Вадимович,Чоловіча,1939-07-28,Хімік,місто Ворожба,"сквер Килимовий, буд. 8, Докучаєвськ, 69771",+380 55 789-58-17,zhukvira@example.org
Джунь,Опанас,Дмитрович,Чоловіча,1955-04-26,Мовознавець,місто Хмільник,"площа Глухівський, буд. 54 кв. 88, Самбір, 13633",033 622-74-42,shtokaloostap@example.org
Михайлюк,Амвросій,Вʼячеславович,Чоловіча,1939-04-13,Випробувач,селище Козятин,"шосе Студентський 5-й, буд. 599 кв. 7, Новодружеськ, 09746",+380 14 646 96 39,oksanaandrusenko@example.net
Цюпа,Опанас,Теодорович,Чоловіча,1938-01-24,Гірничий інженер,місто Вільнянськ,"вулиця Висока, буд. 26 кв. 765, Українка, 65780",005 942 85 08,datsiukrostyslav@example.com
Гресь,Ярослав,Ігнатович,Чоловіча,2002-06-10,Археолог,селище Володимир-Волинський,"парк Карантинний узвіз, буд. 2 кв. 294, Гірник, 56033",+380 14 953-46-93,alevtyn68@example.net
Атаманчук,Богодар,Трохимович,Чоловіча,1949-06-04,Менеджер,хутір Мелітополь,"парк Космонавтів, буд. 358, Новгород-Сіверський, 32006",725-36-71,liliia25@example.com
Гречаник,Арсен,Стефанович,Чоловіча,1956-12-25,Громадський діяч,село Жовква,"площа Іванівський переїзд, буд. 876, Євпаторія, 59134",+380 (18) 140-23-77,imykhailychenko@example.net
Рудько,Юхим,Арсенович,Чоловіча,1943-03-21,Агроном,місто Мала Виска,"парк Фахова, буд. 96, Умань, 31393",+380 98 840-45-32,amvrosiieibozhenko@example.com
Джус,Віктор,Яковович,Чоловіча,1952-01-10,Маркетолог,село Селидове,"вулиця Оранжерейний, буд. 32, Чорноморськ, 02090",029 681 91 18,ostap18@example.org
Савенко,Станіслав,Семенович,Чоловіча,1970-03-15,Графік,хутір Березівка,"площа Компасний, буд. 23, Алмазна, 93639",779 89 13,iukhymkorpaniuk@example.org
Ісаєнко,Вʼячеслав,Устимович,Чоловіча,1980-08-26,Фотограф,місто Берестечко,"сквер Чайкова, буд. 013, Прилуки, 71665",825 91 48,huziiiustyna@example.com
Баранник,Альберт,Вікторович,Чоловіча,1949-04-13,Композитор,село Макіївка,"парк Ганса Германа, буд. 694, Соснівка, 91918",+380 58 433 90 93,adadatsenko@example.org
Зінчук,Яків,Омелянович,Чоловіча,1974-07-15,Льотчик,місто Добропілля,"парк Восьмого березня, буд. 4 кв. 120, Стрий, 53553",099 820-09-88,tiahnyboksvitlana@example.org
Твердохліб,Мирон,Аврелійович,Чоловіча,1975-09-05,Біолог,хутір Брянка,"проспект Східний 1-й, буд. 420 кв. 83, Вашківці, 62040",+380 90 884-61-41,symon44@example.net
Лаба,Яків,Миронович,Чоловіча,1946-12-02,Гірник,місто Хмельницький,"парк Ананьївська, буд. 431 кв. 723, Узин, 55092",+380 09 325-74-93,androshchukalbert@example.net
Орлик,Теодор,Соломонович,Чоловіча,1994-05-03,Гірник,хутір Мелітополь,"набережна Нечипуренка, буд. 287, Ізмаїл, 03904",+380 44 941 78 51,fedirshtokalo@example.net
Дашкевич,Климент,Климентович,Чоловіча,2001-09-07,Стропальник,селище Здолбунів,"набережна Перший Кришталевий, буд. 3, Гнівань, 25081",+380 80 119-57-06,snizhana75@example.net
Василечко,Климент,Данилович,Чоловіча,1971-05-21,Гірничий інженер,село Середина-Буда,"шосе Соляний 1-й, буд. 768 кв. 3, Радехів, 13518",+380 (87) 116-73-69,franchukstanislav@example.net
Бевзенко,Демид,Романович,Чоловіча,1987-06-12,Електрослюсар,село Кам'янка-Бузька,"шосе Олени Теліги, буд. 9 кв. 57, Путивль, 93776",067 513-26-09,semenchenkoroksolana@example.org
Засядько,Назар,Захарович,Чоловіча,1944-03-04,М'ясник,місто Судак,"провулок Єфімова, буд. 5, Щолкіне, 24467",+380 51 616-98-04,ttsybulenko@example.com
Чекалюк,Соломон,Хомович,Чоловіча,1960-06-17,Паралегал,місто Хутір-Михайлівський,"шосе Проектна 1-ша, буд. 62, Козятин, 89648",048 621-60-13,avrelii17@example.net
Артюх,Демид,Устимович,Чоловіча,1972-11-23,Астронавт,хутір Шахтарське,"площа Хвойний, буд. 1 кв. 6, Гірник, 56631",+380 09 274 91 57,bakumenkohennadii@example.net
Батюк,Адам,Вікторович,Чоловіча,1990-02-08,Локсмайстер,село Докучаєвськ,"шосе Василя Симоненка, буд. 9, Охтирка, 33436",+380 45 015-00-75,barsenych@example.org
Скоробогатько,Опанас,Августинович,Чоловіча,1962-03-16,Конструктор,село Брянка,"площа Іспанська, буд. 0, Белз, 76470",+380 (60) 286-91-36,tievtushenko@example.com
Царенко,Григорій,Аркадійович,Чоловіча,1984-07-18,Прокурор,хутір Теплодар,"парк Карпенка-Карого, буд. 777, Чистякове, 27702",480 00 83,ostap49@example.net
Малишко,Артем,Устимович,Чоловіча,1966-12-22,Журналіст,місто Федорівка,"узвіз Чигиринська, буд. 659, Баранівка, 23097",+380 63 082-88-21,boryslavzaruba@example.net
Ковалюк,Ярема,Григорійович,Чоловіча,1961-07-11,Електромонтажник,селище Вуглегірськ,"вулиця Тараса Кузьміна, буд. 3, Снятин, 18074",+380 70 939-98-74,tpiddubnyi@example.net
Зінченко,Амвросій,Теодорович,Чоловіча,1992-09-10,Складальник,хутір Житомир,"вулиця Лузанівська, буд. 9, Донецьк, 07408",+380 64 076 73 15,dzyndraiakiv@example.org
Годунок,Леонід,Альбертович,Чоловіча,1998-01-29,Патологоанатом,село Кодима,"узвіз Соляний 6-й, буд. 225, Благовіщенське, 39512",179-98-21,valentyna23@example.com
Батюк,Артем,Васильович,Чоловіча,1978-04-05,Євнух,село Судак,"площа Гайова, буд. 71 кв. 1, Узин, 14368",+380 86 176 58 31,semeniefymenko@example.com
Овчаренко,Тимофій,Мирославович,Чоловіча,2006-07-20,Медик,село Белз,"шосе Алмазна, буд. 804, Дебальцеве, 96140",553 06 31,zabarnarozaliia@example.org
Дашенко,Орест,Теодорович,Чоловіча,1942-03-02,Клоун,село Саки,"вулиця Заводська 3-тя, буд. 66 кв. 812, Новий Буг, 17743",075 626-24-62,iaroslavamalyk@example.net
Давимука,Аркадій,Святославович,Чоловіча,1940-02-24,Парфюмер,місто Рудки,"проспект Дальня, буд. 078, Новий Калинів, 47392",+380 85 600 94 84,huzvioletta@example.net
Ґалаґан,Франц,Теодорович,Чоловіча,1978-02-05,М'ясник,селище Гребінка,"парк Караїмська, буд. 62, Кам'янське, 23505",322-30-43,andriishynprokhir@example.com
Якименко,Назар,Макарович,Чоловіча,1998-06-01,Маркетолог,місто Приморськ,"площа Трудовий, буд. 9 кв. 83, Золочів, 47564",857-40-32,xkhmara@example.com
Назаренко,Альберт,Георгійович,Чоловіча,1954-06-07,Слідчий,хутір Глухів,"шосе Трудова, буд. 3 кв. 474, Балта, 45946",057 256-72-68,satsiukkhoma@example.net
Твердохліб,Хома,Ааронович,Чоловіча,2002-04-28,Реставратор,хутір Татарбунари,"вулиця Василя Кандинського 1-й, буд. 021, Монастирище, 78776",+380 (07) 658-60-54,banderavarvara@example.com
Худобʼяк,Святослав,Вадимович,Чоловіча,1999-03-13,Підприємець,селище Хоростків,"площа Літній, буд. 7 кв. 97, Новодружеськ, 52450",+380 35 843-43-94,panas09@example.net
Теличенко,Зорян,Георгійович,Чоловіча,1985-03-16,Мовознавець,селище Сколе,"площа Флотська, буд. 55 кв. 36, Кілія, 43352",+380 69 054-97-64,havrylo77@example.com
Прокопович,Микита,Зорянович,Чоловіча,2000-06-15,Фрілансер,село Таврійськ,"парк Іванівська, буд. 29, Кролевець, 47728",659 45 61,kzakharchenko@example.net
Бабʼюк,Олесь,Демидович,Чоловіча,1944-08-31,Програміст,місто Умань,"проспект Закарпатська, буд. 94, Хутір-Михайлівський, 34409",088 740 39 80,albinahavryliuk@example.org
Матвієнко,Аарон,Яремович,Чоловіча,2006-12-23,Антрополог,село Снігурівка,"провулок Ольги Благовидової, буд. 0 кв. 1, Селидове, 55109",039 910-79-69,larysa02@example.org
Андріїшин,Зорян,Олександрович,Чоловіча,1990-06-19,Пекар,селище Лебедин,"провулок Естафетна, буд. 66 кв. 573, Узин, 56337",+380 57 344-35-93,dumanets@example.net
Артим,Марко,Борисович,Чоловіча,2003-03-19,Лікар,хутір Устилуг,"провулок Академіка Липського, буд. 90, Липовець, 61893",+380 08 214-12-27,bohdan20@example.org
Цибуленко,Ігнат,Ігорович,Чоловіча,1964-08-28,Піаніст,селище Кам'янка-Дніпровська,"набережна Військовий узвіз, буд. 8 кв. 18, Городок, 93497",828 92 61,dakhnodanylo@example.org
Хоменко,Євген,Єлисейович,Чоловіча,1969-09-17,М'ясник,хутір Острог,"набережна Офіцерський 2-й, буд. 01 кв. 0, Самар, 02253",542-08-45,solomonvyshniak@example.net
Захарченко,Гордій,Аврелійович,Чоловіча,1993-10-09,Астроном,селище Татарбунари,"шосе Шилова, буд. 977 кв. 38, Тячів, 23703",+380 20 509-86-83,bohdan35@example.org
Ейбоженко,Герман,Гаврилович,Чоловіча,2001-06-11,Педагог,село Залізне,"провулок Пилипа Орлика, буд. 602 кв. 6, Макіївка, 20268",830-24-48,kvatamaniuk@example.net
Левченко,Максим,Юстимович,Чоловіча,1990-08-13,Психолог,селище Шостка,"площа Мацієвської узвіз, буд. 8 кв. 1, Герца, 46866",317-74-31,milenakovpak@example.net
Єфименко,Пилип,Ігнатович,Чоловіча,1986-03-02,Астрофізик,село Білопілля,"парк Чернівецький, буд. 595 кв. 40, Миргород, 36828",391 97 72,cchuiko@example.org
Асаула,Мирослав,Олександрович,Чоловіча,2002-03-14,Електромонтажник,хутір Яремче,"парк Високий, буд. 535, Чернігів, 75168",+380 (74) 923-51-49,oleh60@example.net
Дейнеко,Вадим,Олексович,Чоловіча,2004-10-23,Шериф,хутір Суми,"провулок Анатолія Бачинського, буд. 30 кв. 06, Тульчин, 65639",+380 (65) 198-56-10,nosenkohavrylo@example.com
Левченко,Тимофій,Антонович,Чоловіча,1959-02-24,Флорист,селище Долина,"площа Рибальська, буд. 54 кв. 4, Зугрес, 64531",+380 68 883-19-87,vlokhmykhailyna@example.org
Бабариченко,Олесь,Аврелійович,Чоловіча,1972-02-13,Фольклорист,місто Чоп,"сквер Лінія 43-тя, буд. 459 кв. 15, Ковель, 34952",+380 74 772-74-65,bsirchenko@example.com
Тичина,Феофан,Валентинович,Чоловіча,1944-04-09,Конструктор,селище Жовті Води,"сквер Шампанський, буд. 9 кв. 2, Отаманівка, 65369",+380 (73) 436-90-02,rozaliialukash@example.net
Данченко,Пармен,Сергійович,Чоловіча,1964-06-28,Письменник,селище Великі Мости,"набережна Ботанічний, буд. 6 кв. 89, Мена, 40196",091 34 37,artemdakhno@example.net
Онищенко,Лукʼян,Орхипович,Чоловіча,1974-11-03,Фотограф,село Молочанськ,"сквер Василя Кандинського, буд. 084 кв. 252, Новоазовськ, 82523",+380 13 103-11-23,petrykavrelii@example.org
Прокопович,Азар,Устимович,Чоловіча,1938-03-26,Художник,селище Українськ,"шосе Амундсена, 3-й, буд. 9, Старий Самбір, 24582",+380 50 692-52-89,bohodar97@example.org
Ящук,Руслан,Гаврилович,Чоловіча,2001-09-03,Гірник,хутір Здолбунів,"проспект Шота Руставелі, буд. 452, Миргород, 43657",498 18 11,hutsuliakleonid@example.org
Дашкевич,Теодор,Пантелеймонович,Чоловіча,1998-03-06,Мовознавець,хутір Миколаїв,"сквер Локальна, буд. 21 кв. 71, Заставна, 58516",+380 80 595-16-11,romanchukalla@example.org
Карась,Левко,Миронович,Чоловіча,1941-09-02,Клавішник,село Шумськ,"узвіз Тролейбусна, буд. 707 кв. 93, Подільськ, 51666",+380 12 302-04-97,klymentnestaiko@example.org
Вітрук,Давид,Леопольдович,Чоловіча,1939-06-07,Ювелір,селище Армянськ,"провулок Кришталевий, буд. 10 кв. 5, Здолбунів, 54944",+380 06 104-39-16,cieremenko@example.org
Терещенко,Аарон,Олегович,Чоловіча,2006-03-02,Режисер,село Липовець,"шосе Олександра Ройтбурда, буд. 933, Мирноград, 08022",+380 62 901 03 33,hordiiartym@example.net
Єфименко,Леонтій,Йосипович,Чоловіча,1974-03-13,Інженер,хутір Вашківці,"шосе Льва Симиренка, буд. 24, Дніпрорудне, 08927",+380 (52) 481-15-67,babiakstepan@example.com
Єрченко,Геннадій,Веніяминович,Чоловіча,2001-04-27,Педагог,хутір Бровари,"парк Одеса-Головна, буд. 6 кв. 478, Вовчанськ, 65362",+380 07 095-97-53,zusyk@example.com
Шеремета,Лесь,Едуардович,Чоловіча,1960-05-09,Музикознавець,хутір Торецьк,"узвіз Побратимів, буд. 6 кв. 00, Дубляни, 17430",+380 05 567-10-99,zynovii18@example.com
Базилевський,Феофан,Бориславович,Чоловіча,1952-05-21,Композитор,місто Алушта,"проспект Рівний, буд. 70, Тернопіль, 31864",721-32-90,hryhoriidubyna@example.org
Масляк,Пантелеймон,Остапович,Чоловіча,1989-09-24,Державний службовець,село Жашків,"узвіз Лютневий 1-й, буд. 244 кв. 01, Охтирка, 37329",570 87 12,erika52@example.net
Лесик,Мирон,Орестович,Чоловіча,1984-10-01,Шериф,село Гірське,"провулок Десятого квітня, буд. 1 кв. 72, Копичинці, 23466",+380 54 071-08-59,irynailchenko@example.org
Дубина,Владислав,Опанасович,Чоловіча,1969-11-13,Кінорежисер,селище Вишневе,"шосе Долинська, буд. 262 кв. 083, Южне, 44628",760 83 21,chavrylenko@example.org
Дутка,Йосип,Вадимович,Чоловіча,2006-01-28,Вчитель,місто Лисичанськ,"вулиця Олександра Кошиця, буд. 2 кв. 617, Ромни, 14336",075 751 04 93,tverdokhlibserhii@example.net
Євдокименко,Болеслав,Микитович,Чоловіча,2005-06-11,Сценарист,селище Борщів,"узвіз Марка Твена, буд. 397 кв. 214, Кам'янка (Черкаська область), 01184",713-34-43,odarkavernydub@example.org
Башполченко,Леопольд,Гордійович,Чоловіча,1967-03-30,Живописець,село Устилуг,"парк Студентський 3-й, буд. 992 кв. 33, Моршин, 43328",+380 08 279 06 33,nadiiazinkevych@example.org
Артеменко,Стефан,Петрович,Чоловіча,1975-04-22,Графік,село Кобеляки,"проспект Яблучна, буд. 221, Покровськ, 96383",535 79 28,vasylyna48@example.com
Вівчаренко,Євген,Яковович,Чоловіча,1952-09-20,Кіноактор,хутір Сокаль,"узвіз Гена Іоганна, буд. 893 кв. 834, Сватове, 06356",+380 69 906 23 57,vbabarychenko@example.org
Кармалюк,Марко,Прохорович,Чоловіча,2000-08-18,Медик,місто Попасна,"проспект Верхня, буд. 70, Дебальцеве, 45676",003 694 27 30,oieresko@example.net
Бгиденко,Соломон,Альбертович,Чоловіча,1993-02-15,Журналіст,селище Апостолове,"набережна Олени Теліги, буд. 145, Шаргород, 23420",141 68 90,alina52@example.net
Сич,Августин,Юхимович,Чоловіча,1996-04-27,Мовознавець,місто Зіньків,"узвіз Одеса-Головна, буд. 4, Свалява, 08014",183-19-75,volodymyra01@example.com
Пелех,Юхим,Венедиктович,Чоловіча,1988-07-26,Зоолог,хутір Самар,"шосе Карпенка-Карого, буд. 63 кв. 29, Оріхів, 03382",+380 90 554-01-44,xiurchuk@example.com
Шутько,Аарон,Тарасович,Чоловіча,1967-05-03,Бізнесмен,місто Люботин,"шосе Рівності, буд. 489 кв. 922, Хрустальний, 65728",+380 59 681-25-25,priska70@example.com
Демʼяненко,Климент,Леонідович,Чоловіча,1968-04-05,Біолог,селище Кагарлик,"провулок Лінія 26-та, буд. 08 кв. 866, Миколаїв, 02887",093 745-05-96,danylo79@example.org
Лупій,Пилип,Адамович,Чоловіча,1973-11-17,Сценарист,хутір Рубіжне,"парк Немировича-Данченка, буд. 041 кв. 34, Перевальськ, 37105",+380 15 706 75 86,klymentkalenychenko@example.com
Чарниш,Федір,Зорянович,Чоловіча,1952-11-11,Режисер,селище Охтирка,"шосе Кредитний, буд. 869 кв. 530, Євпаторія, 41667",+380 02 958 41 69,nadiia42@example.net
Чміль,Адам,Володимирович,Чоловіча,1938-06-21,Хореограф,селище Середина-Буда,"провулок Ганни Ахматової, буд. 28, Тернівка, 67312",+380 26 222 33 42,perebyinisrostyslav@example.com
Рудик,Пилип,Прохорович,Чоловіча,1993-10-01,Футболіст,село Тиврів,"сквер Трудовий, буд. 9, Старий Самбір, 74172",062 511-12-52,erika10@example.com
Гук,Хома,Гордійович,Чоловіча,1960-06-22,Фольклорист,хутір Умань,"проспект Виноградна 1-ша, буд. 09 кв. 99, Перевальськ, 01567",026 85 09,hpetrenko@example.com
Рубан,Андрій,Демʼянович,Чоловіча,2001-08-13,Каскадер,місто Енергодар,"площа 5-та Лінія Марії Демченко, буд. 418, Світлодарськ, 10690",126-83-04,viashchenko@example.net
Шамрай,Аарон,Єфремович,Чоловіча,1964-05-27,Бібліограф,село Горішні Плавні,"проспект 15-та ст. Великого Фонтану пляж, буд. 56, Брянка, 10009",968 37 19,alina01@example.net
Гоголь,Левко,Юхимович,Чоловіча,1983-07-08,Педагог,селище Мала Виска,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 00, Бахмач, 60246",+380 (31) 734-98-42,tsushkodan@example.net
Ващенко-Захарченко,Дмитро,Сергійович,Чоловіча,1967-04-30,Хімік,місто Херсон,"площа Нескучна, буд. 8 кв. 374, Сокологірськ, 82925",+380 15 945-71-72,phrechko@example.net
Кабалюк,Павло,Трохимович,Чоловіча,1982-11-25,Професор,хутір Галич,"вулиця Фестивальний, буд. 423, Джанкой, 94383",123 54 96,arsenycholeksa@example.net
Аверченко,Данило,Данилович,Чоловіча,1964-11-09,Доцент,село Армянськ,"узвіз Берестейська, буд. 9, Жданівка, 61107",+380 (24) 613-19-11,hbatiuk@example.net
Килимник,Трохим,Макарович,Чоловіча,1976-05-20,Продюсер,селище Канів,"узвіз Скидановський узвіз, буд. 36 кв. 9, Миколаїв, 15748",+380 (12) 835-97-97,ielysei08@example.org
Андрусенко,Микита,Артемович,Чоловіча,2005-03-27,Астроном,село Ірміно,"набережна Шполянська, буд. 286 кв. 7, Святогірськ, 95110",627 61 87,zlatoslava09@example.com
Непорожній,Аврелій,Теодорович,Чоловіча,1998-04-27,Мікробіолог,місто Шахтарськ,"шосе Аеропортівський 3-й, буд. 922, Калинівка, 19809",044 237 97 47,uvlokh@example.org
Корпанюк,Софія,Трохимівна,Жіноча,1975-05-20,Євнух,селище Гайсин,"парк Бодаревського, буд. 494, Миколаївка, 25915",699 68 47,tkachenkooksana@example.org
Жаліло,Михайлина,Сергіївна,Жіноча,1971-08-03,Паралегал,хутір Кагарлик,"площа Отонівський, буд. 6 кв. 241, Новоукраїнка, 29233",+380 88 303-81-43,kriabchenko@example.com
Ґоляш,Марія,Павлівна,Жіноча,1960-01-16,Менеджер,місто Селидове,"провулок Пантелеймонівська, буд. 383, Світлодарськ, 96580",408 67 45,peibozhenko@example.com
Ярема,Варвара,Георгіївна,Жіноча,1992-02-24,Піаніст,хутір Вільногірськ,"сквер Пересипський 2-й, буд. 8, Ічня, 21953",+380 09 566-37-33,okhrim89@example.org
Литвиненко,Віра,Францівна,Жіноча,1967-05-26,М'ясник,селище Львів,"площа Глухівський, буд. 56, Буринь, 86724",014 90 84,pvalenko@example.org
Тарасенко,Лілія,Богодарівна,Жіноча,1989-11-10,Епідеміолог,місто Павлоград,"проспект Черешнева, буд. 947 кв. 604, Ірпінь, 56750",+380 82 798-37-73,bohdannavlokh@example.net
Конопленко,Оксенія,Охрімівна,Жіноча,1981-07-24,Мистецтвознавець,селище Старий Самбір,"набережна Картамишевська, буд. 799 кв. 1, Герца, 60904",005 092 47 22,jpustovit@example.org
Бгиденко,Юстина,Богданівна,Жіноча,1940-05-04,Інженер,село Жидачів,"сквер Луценка Івана, буд. 9, Південне, 01615",+380 11 193-17-50,bohuslavartemenko@example.org
Засенко,Лілія,Георгіївна,Жіноча,1983-05-06,Євнух,хутір Сновськ,"вулиця Туристський, буд. 21 кв. 19, Бобровиця, 39191",076 203 60 63,banduraarsen@example.com
Євдокименко,Аніта,Яремівна,Жіноча,1996-06-25,Мовознавець,селище Рахів,"сквер Перший Кришталевий, буд. 77 кв. 29, Кальміуське, 82031",+380 (55) 426-94-55,cshvachko@example.com
Зінченко,Олена,Остапівна,Жіноча,1955-11-15,Сценарист,хутір Скадовськ,"узвіз Кришталева, буд. 5, Устилуг, 30159",+380 54 663 78 83,khrystycharsen@example.com
Забашта,Віолетта,Едуардівна,Жіноча,1958-10-28,Євнух,селище Миколаїв,"вулиця Регенсбург, буд. 9, Керч, 63178",+380 99 378-64-94,bbandera@example.net
Бабʼяк,Розалія,Прохорівна,Жіноча,1958-02-28,Акушер,хутір Хуст,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 969, Ясинувата, 80196",204 74 19,ynesterenko@example.org
Смик,Любов,Несторівна,Жіноча,1938-07-10,Будник,місто Привілля,"набережна Віталія Гуляєва, буд. 3, Тернопіль, 65142",+380 45 291-13-10,rbaida@example.org
Юрчишина,Ганна,Борисівна,Жіноча,1944-03-16,Кінолог,село Суходільськ,"площа Покровський, буд. 9 кв. 201, Новодністровськ, 30198",+380 61 647-68-77,oryna67@example.net
Рак,Михайлина,Вʼячеславівна,Жіноча,1963-07-25,Режисер,село Каховка,"вулиця Дмитра Іванова, буд. 3, Красногорівка, 88645",+380 21 490-02-03,bairaksviatoslav@example.com
Ярема,Віолетта,Михайлівна,Жіноча,1995-02-07,Слідчий,селище Ніжин,"набережна Мариністів, буд. 471, Бунге, 24845",047 634-37-09,fedir66@example.net
Ващук,Богуслава,Демʼянівна,Жіноча,1938-09-10,Шериф,село Родинське,"узвіз Пересипська 1-ша, буд. 26 кв. 3, Богодухів, 96630",+380 00 316-70-23,zakhar22@example.com
Вакарчук,Альбіна,Охрімівна,Жіноча,1942-03-10,Продюсер,селище Докучаєвськ,"узвіз Проектований 3-й, буд. 06 кв. 4, Калинівка, 49717",048 75 81,klavdiiachekaliuk@example.org
Забашта,Наталія,Антонівна,Жіноча,2000-06-02,Модель,село Добропілля,"площа Квітнева, буд. 0 кв. 4, Баштанка, 19326",057 735-84-15,andriiiatsenko@example.org
Малик,Вікторія,Святославівна,Жіноча,1952-07-17,Єгер,місто Бобровиця,"провулок Соборна, буд. 11 кв. 412, Сколе, 16409",002 011 36 90,hennadii37@example.com
Іщак,Ліза,Панасівна,Жіноча,2005-01-09,Електрик,село Люботин,"узвіз Дальня, буд. 314, Соледар, 37762",+380 54 906-94-21,yiarosh@example.net
Тесля,Клавдія,Панасівна,Жіноча,1983-05-05,Графік,хутір Довжанськ,"вулиця Прорізний, буд. 408 кв. 57, Герца, 11108",675 17 34,priskaovcharenko@example.net
Євдокименко,Світлана,Степанівна,Жіноча,1984-07-21,Круп'є,хутір Павлоград,"сквер Новопланівська, буд. 1 кв. 543, Монастириська, 77872",+380 21 800 78 28,nosachenkosofiia@example.net
